Event,Date,Pack Type,trsh/door/brd/WO,Top Rating
,,,Door,
14,11/4,Mega Pack,Door,82
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
14,11/4,Rare Electrum Players Pack,Door,82
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
14,11/4,Premium Electrum Players Pack,Door,80
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
14,11/4,Premium Electrum Players Pack,Door,78
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
14,11/4,Premium Electrum Players Pack,Door,81
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
14,11/4,Premium Electrum Players Pack,Door,80
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
14,11/4,Premium Electrum Players Pack,Door,81
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
14,11/4,Premium Electrum Players Pack,Door,80
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
14,11/4,Premium Electrum Players Pack,Door,77
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
14,11/4,Premium Electrum Players Pack,Door,82
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
14,11/4,Premium Electrum Players Pack,Door,83
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
14,11/4,Premium Electrum Players Pack,Door,81
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
14,11/4,Mega Pack,WO,91
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
15,11/5,Prime Silver Players Pack,Door,74
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
15,11/5,Premium Gold Players Pack,Door,81
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
15,11/5,Small Gold Players Pack,Door,80
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
15,11/5,Small Prime Gold Players Pack,Door,83
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
15,11/5,Electrum Players Pack,Door,79
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
15,11/5,Premium Electrum Players Pack,Door,79
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
15,11/5,Prime Electrum Players Pack,Door,80
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
15,11/5,Rare Electrum Players Pack,Door,83
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
15,11/5,Mixed Players Pack,Door,76
